TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
1268905522,36.0757789,136.2132966,0.53,,,,,,
1268945485,36.0757789,136.2132966,0.53,,,,,,
1268965555,36.0757789,136.2132966,0.53,,,,,,
1268968397,,,,36.0757789,136.2132966,0.5,,,
1269005523,36.0757789,136.2132966,0.53,,,,,,
1269045489,36.0757789,136.2132966,0.53,,,,,,
1269068496,,,,36.0757789,136.2132966,0.5,,,
1269085538,36.0757789,136.2132966,0.53,,,,,,
1269105520,36.0757789,136.2132966,0.53,,,,,,
1269145510,36.0757789,136.2132966,0.53,,,,,,
1269165717,36.0757789,136.2132966,0.53,,,,,,
1269168417,,,,36.0757789,136.2132966,0.5,,,
1269185533,36.0757789,136.2132966,0.53,,,,,,
1269225854,36.0757789,136.2132966,0.53,,,,,,
1269265718,36.0757789,136.2132966,0.53,,,,,,
1269268310,,,,36.0757789,136.2132966,0.5,,,
1269285530,36.0757789,136.2132966,0.53,,,,,,
1269305476,36.0757789,136.2132966,0.53,,,,,,
1269345482,36.0757789,136.2132966,0.53,,,,,,
1269365885,36.0757789,136.2132966,0.53,,,,,,
1269368399,,,,36.0757789,136.2132966,0.5,,,
1269385468,36.0757789,136.2132966,0.53,,,,,,
1269425821,36.0757789,136.2132966,0.53,,,,,,
1269465691,36.0757789,136.2132966,0.53,,,,,,
1269468378,,,,36.0757789,136.2132966,0.5099999904632568,,,
1269485537,36.0757789,136.2132966,0.53,,,,,,
1269525715,36.0757789,136.2132966,0.53,,,,,,
1269545539,36.0757789,136.2132966,0.53,,,,,,
1269565684,36.0757789,136.2132966,0.53,,,,,,
1269568345,,,,36.0757789,136.2132966,0.5099999904632568,,,
1269585525,36.0757789,136.2132966,0.53,,,,,,
1269625710,36.0757789,136.2132966,0.53,,,,,,
1269665782,36.0757789,136.2132966,0.53,,,,,,
1269668382,,,,36.0757789,136.2132966,0.5099999904632568,,,
1269705559,36.0757789,136.2132966,0.53,,,,,,
1269725882,36.0757789,136.2132966,0.53,,,,,,
1269765705,36.0757789,136.2132966,0.53,,,,,,
1269768375,,,,36.0757789,136.2132966,0.5099999904632568,,,
1269785479,36.0757789,136.2132966,0.53,,,,,,
1269805448,36.0757789,136.2132966,0.53,,,,,,
1269825700,36.0757789,136.2132966,0.53,,,,,,
1269865746,36.0757789,136.2132966,0.53,,,,,,
1269868404,,,,36.0757789,136.2132966,0.5099999904632568,,,
1269905522,36.0757789,136.2132966,0.53,,,,,,
1269945469,36.0757789,136.2132966,0.53,,,,,,
1269965703,36.0757789,136.2132966,0.53,,,,,,
1269968389,,,,36.0757789,136.2132966,0.5099999904632568,,,
1269985470,36.0757789,136.2132966,0.53,,,,,,
1270005437,36.0757789,136.2132966,0.53,,,,,,
1270045507,36.0757789,136.2132966,0.53,,,,,,
1270065698,36.0757789,136.2132966,0.53,,,,,,
1270068344,,,,36.0757789,136.2132966,0.5099999904632568,,,
1270085460,36.0757789,136.2132966,0.53,,,,,,
1270125703,36.0757789,136.2132966,0.53,,,,,,
1270165717,36.0757789,136.2132966,0.53,,,,,,
1270168322,,,,36.0757789,136.2132966,0.5199999809265137,,,
1270205538,36.0757789,136.2132966,0.53,,,,,,
1270225755,36.0757789,136.2132966,0.53,,,,,,
1270245499,36.0757789,136.2132966,0.53,,,,,,
1270265868,36.0757789,136.2132966,0.53,,,,,,
1270268374,,,,36.0757789,136.2132966,0.5199999809265137,,,
1270305459,36.0757789,136.2132966,0.53,,,,,,
1270325876,36.0757789,136.2132966,0.53,,,,,,
1270365727,36.0757789,136.2132966,0.53,,,,,,
1270368550,,,,36.0757789,136.2132966,0.5199999809265137,,,
1270385549,36.0757789,136.2132966,0.53,,,,,,
1270405568,36.0757789,136.2132966,0.53,,,,,,
1270445475,36.0757789,136.2132966,0.53,,,,,,
1270468361,,,,36.0757789,136.2132966,0.5199999809265137,,,
1270485485,36.0757789,136.2132966,0.53,,,,,,
1270505545,36.0757789,136.2132966,0.53,,,,,,
1270525717,36.0757789,136.2132966,0.53,,,,,,
1270565801,36.0757789,136.2132966,0.53,,,,,,
1270568386,,,,36.0757789,136.2132966,0.5199999809265137,,,
1270585562,36.0757789,136.2132966,0.53,,,,,,
1270605552,36.0757789,136.2132966,0.53,,,,,,
1270645470,36.0757789,136.2132966,0.53,,,,,,
1270668373,,,,36.0757789,136.2132966,0.5199999809265137,,,
1270685520,36.0757789,136.2132966,0.53,,,,,,
1270725716,36.0757789,136.2132966,0.53,,,,,,
1270745540,36.0757789,136.2132966,0.53,,,,,,
